id,_fivetran_synced,body,created,facebook_comment,public,ticket_id,tweet,user_id,voice_comment
1,2020-03-05 04:47:57.580,body1,2020-02-11 07:49:14,FALSE,TRUE,16988,FALSE,402935450113,FALSE
2,2020-09-07 08:09:18.997,body2,2020-06-26 20:47:27,FALSE,TRUE,16988,FALSE,413068955393,FALSE
3,2020-09-02 14:08:34.410,body3,2020-07-21 19:33:46,FALSE,TRUE,16988,FALSE,413068955393,FALSE
4,2020-09-02 14:08:34.410,body4,2020-07-21 17:07:54,FALSE,TRUE,16988,FALSE,413068955393,FALSE
5,2020-09-02 14:08:34.410,body5,2020-07-20 20:16:47,FALSE,TRUE,16988,FALSE,413068955393,FALSE
6,2020-09-07 08:09:18.991,body6,2020-06-19 20:40:41,FALSE,TRUE,14173,FALSE,413068955393,FALSE
7,2020-09-02 14:08:34.412,body7,2020-07-22 16:41:28,FALSE,TRUE,14173,FALSE,413068955393,FALSE
8,2020-09-02 14:08:34.411,body8,2020-07-21 19:43:27,FALSE,TRUE,14173,FALSE,413068955393,FALSE
9,2020-09-02 14:08:34.411,body9,2020-07-21 20:07:17,FALSE,TRUE,14173,FALSE,413068955393,FALSE
10,2020-11-04 14:09:01.386,body10,2020-10-19 13:56:05,FALSE,TRUE,13628,FALSE,424142574593,FALSE
11,2020-11-04 14:09:01.388,body11,2020-10-21 09:08:41,FALSE,TRUE,4721,FALSE,424142574593,FALSE
12,2020-11-06 14:09:43.392,body12,2020-10-11 13:13:55,FALSE,TRUE,4721,FALSE,423362500353,FALSE
13,2020-10-26 02:11:04.021,body13,2020-10-10 15:40:36,FALSE,TRUE,4721,FALSE,423362500353,FALSE
14,2020-10-26 02:11:04.021,body14,2020-10-10 14:39:46,FALSE,TRUE,1966,FALSE,423362500353,FALSE
15,2020-11-06 14:09:43.391,body15,2020-10-11 08:02:56,FALSE,TRUE,1966,FALSE,423362500353,FALSE
16,2020-11-06 14:09:43.391,body16,2020-10-11 08:08:54,FALSE,TRUE,1966,FALSE,423362500353,FALSE
17,2020-11-15 08:12:04.339,body17,2020-11-01 02:20:20,FALSE,TRUE,1966,FALSE,423362500353,FALSE
18,2020-11-06 14:09:43.388,body18,2020-10-10 14:51:51,FALSE,TRUE,11071,FALSE,423362500353,FALSE
19,2020-10-26 02:11:04.025,body19,2020-10-11 08:05:48,FALSE,TRUE,11071,FALSE,423362500353,FALSE
20,2020-10-26 02:11:04.023,body20,2020-10-11 07:53:43,FALSE,TRUE,11071,FALSE,423362500353,FALSE
21,2020-10-26 02:11:04.023,body20,2024-09-23 07:53:43,FALSE,TRUE,11071,FALSE,423362500353,FALSE
